Date,Stock,Close,Interest Rate,Inflation Rate,GDP
2001-01-04,AAPL,0.3046880066394806,5.92,2.878468,10474.5233
2001-01-04,F,26.9375,5.92,2.878468,10474.5233
2001-01-04,AMZN,0.7749999761581421,5.92,2.878468,10474.5233
2001-01-04,JPM,52.0,5.92,2.878468,10474.5233
2001-01-04,MS,88.6875,5.92,2.878468,10474.5233
2001-01-04,MSFT,24.21875,5.92,2.878468,10474.5233
2001-01-04,WFC,26.0,5.92,2.878468,10474.5233
2001-01-04,CSCO,41.875,5.92,2.878468,10474.5233
2001-01-05,MS,84.625,5.83,2.878468,10475.954066666667
2001-01-05,WFC,26.1875,5.83,2.878468,10475.954066666667
2001-01-05,MSFT,24.5625,5.83,2.878468,10475.954066666667
2001-01-05,CSCO,36.625,5.83,2.878468,10475.954066666667
2001-01-05,JPM,48.9375,5.83,2.878468,10475.954066666667
2001-01-05,AAPL,0.2924109995365143,5.83,2.878468,10475.954066666667
2001-01-05,F,26.25,5.83,2.878468,10475.954066666667
2001-01-05,AMZN,0.7281249761581421,5.83,2.878468,10475.954066666667
2001-01-08,WFC,25.9375,5.98,2.878468,10480.246366666666
2001-01-08,MSFT,24.46875,5.98,2.878468,10480.246366666666
2001-01-08,MS,83.375,5.98,2.878468,10480.246366666666
2001-01-08,JPM,49.25,5.98,2.878468,10480.246366666666
2001-01-08,AAPL,0.295758992433548,5.98,2.878468,10480.246366666666
2001-01-08,AMZN,0.746874988079071,5.98,2.878468,10480.246366666666
2001-01-08,CSCO,36.546875,5.98,2.878468,10480.246366666666
2001-01-08,F,25.625,5.98,2.878468,10480.246366666666
2001-01-09,JPM,48.6875,5.95,2.878468,10481.677133333333
2001-01-09,MSFT,25.90625,5.95,2.878468,10481.677133333333
2001-01-09,AMZN,0.8187500238418579,5.95,2.878468,10481.677133333333
2001-01-09,F,26.4375,5.95,2.878468,10481.677133333333
2001-01-09,AAPL,0.3069199919700622,5.95,2.878468,10481.677133333333
2001-01-09,WFC,24.71875,5.95,2.878468,10481.677133333333
2001-01-09,MS,82.5,5.95,2.878468,10481.677133333333
2001-01-09,CSCO,37.125,5.95,2.878468,10481.677133333333
2001-01-10,CSCO,36.25,6.06,2.878468,10483.1079
2001-01-10,AAPL,0.295758992433548,6.06,2.878468,10483.1079
2001-01-10,WFC,24.34375,6.06,2.878468,10483.1079
2001-01-10,AMZN,0.824999988079071,6.06,2.878468,10483.1079
2001-01-10,F,26.25,6.06,2.878468,10483.1079
2001-01-10,MS,86.0,6.06,2.878468,10483.1079
2001-01-10,JPM,50.9375,6.06,2.878468,10483.1079
2001-01-10,MSFT,26.4375,6.06,2.878468,10483.1079
2001-01-11,F,26.9375,6.05,2.878468,10484.538666666667
2001-01-11,AAPL,0.3214290142059326,6.05,2.878468,10484.538666666667
